timestamp,puell_multiple
2023-04-01,1.1675241787970427
2023-04-02,1.225854945064147
2023-04-03,1.0770045982724938
2023-04-04,1.3382308877583384
2023-04-05,1.1655962309539811
2023-04-06,1.3227199863204433
2023-04-07,1.1702378094306398
2023-04-08,1.207586024662732
2023-04-09,1.195372257590951
2023-04-10,1.0391736245803032
2023-04-11,1.378117142039932
2023-04-12,1.4178000727296327
2023-04-13,1.274808091313967
2023-04-14,1.2760555024783689
2023-04-15,1.4177242023770151
2023-04-16,1.1109131859693542
2023-04-17,1.364485306876327
2023-04-18,1.468930037253854
2023-04-19,1.2226951850271706
2023-04-20,1.1390457857485392
2023-04-21,1.2127506484809212
2023-04-22,1.2131938969139615
2023-04-23,1.203481341991052
2023-04-24,1.1624274729785922
2023-04-25,1.0465353919084954
2023-04-26,1.1474241383318105
2023-04-27,1.174151573392555
2023-04-28,1.3359366526289138
2023-04-29,1.2447762050782387
2023-04-30,1.350684232543058
2023-05-01,1.6258765640297714
2023-05-02,1.23671552774971
2023-05-03,1.362730164549822
2023-05-04,1.4137278610376551
2023-05-05,1.224850923815238
2023-05-06,1.5447081631959014
2023-05-07,1.74801389955183
2023-05-08,1.978328677073719
2023-05-09,1.8131508971743624
2023-05-10,1.847391611129774
2023-05-11,1.4720710510300443
2023-05-12,1.32283349447878
2023-05-13,1.2912285267082708
2023-05-14,1.4980168958296718
2023-05-15,1.306262821847862
2023-05-16,1.3714892220145822
2023-05-17,1.39883668494214
2023-05-18,1.2712093944001268
2023-05-19,1.331718799454112
2023-05-20,1.153084580748646
2023-05-21,1.2963464211124411
2023-05-22,1.232122656248028
2023-05-23,1.3303545605417622
2023-05-24,1.1907588747366984
2023-05-25,1.2888586498755912
2023-05-26,1.3246335744933575
2023-05-27,1.223716056350507
2023-05-28,1.3724520418503456
2023-05-29,1.4269617687079952
2023-05-30,1.3691104808476815
2023-05-31,1.2212253779157314
2023-06-01,1.139352872893898
2023-06-02,1.4060529526140444
2023-06-03,1.091840457885438
2023-06-04,1.2381572323542869
2023-06-05,1.1515140163132007
2023-06-06,1.2642565723355768
2023-06-07,1.1891254277467402
2023-06-08,1.2947573214191863
2023-06-09,1.4196542966972374
2023-06-10,1.2395741281421966
2023-06-11,1.2901602274231525
2023-06-12,1.254587626393434
2023-06-13,1.176235726308433
2023-06-14,0.9731088863468976
2023-06-15,1.1485436917900929
2023-06-16,1.219869725872158
2023-06-17,1.1446482238728302
2023-06-18,1.2194433604393335
2023-06-19,1.148828130380066
